domain,model,accuracy,precision_weighted,recall_weighted,f1_weighted,roc_auc,log_loss,n_train,n_test,n_features_raw,n_num,n_cat,classes,confusion_matrix
ALL,logreg,1.0,1.0,1.0,1.0,1.0,2.4430245323553534e-06,17491860,4372966,2,0,2,"0,1","1708807,0;0,2664159"
ALL,rf,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,17491860,4372966,2,0,2,"0,1","1708807,0;0,2664159"
IoT,logreg,1.0,1.0,1.0,1.0,1.0,1.3174980337026978e-05,2884907,721227,1,0,1,"0,1","617395,0;0,103832"
IoT,rf,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,2884907,721227,1,0,1,"0,1","617395,0;0,103832"
Linux,logreg,1.0,1.0,1.0,1.0,1.0,8.512849077374013e-06,4684263,1171066,1,0,1,"0,1","1008341,0;0,162725"
Linux,rf,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,4684263,1171066,1,0,1,"0,1","1008341,0;0,162725"
Network,logreg,1.0,1.0,1.0,1.0,1.0,3.962681336101387e-06,9871216,2467805,1,0,1,"0,1","73619,0;0,2394186"
Network,rf,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,9871216,2467805,1,0,1,"0,1","73619,0;0,2394186"
Windows,logreg,1.0,1.0,1.0,1.0,1.0,0.000510355192342075,51473,12869,1,0,1,"0,1","9452,0;0,3417"
Windows,rf,1.0,1.0,1.0,1.0,1.0,2.2204460492503136e-16,51473,12869,1,0,1,"0,1","9452,0;0,3417"
